Complexity,Loss,Equation
1,0.036854737,"0.64035225"
3,0.019988481,"x2 * x0"
4,0.017644512,"sinh(x2 * x0)"
6,0.017076466,"sinh(x2) * (x0 ^ 1.4546539)"
7,0.01670884,"sinh(x0 * sinh(x2)) * 0.47666866"
8,0.016597487,"(sin(x0 ^ 0.7528699) * x2) ^ 1.8959332"
9,0.01654907,"(x2 * sin(erf(x0 ^ 0.81599534))) ^ 1.8749706"
10,0.016508663,"sinh((x2 - x0) * ((x0 + -0.07883814) * 1.5971165))"
11,0.016460782,"((x2 - x0) * (x0 ^ 1.5126371)) / 0.4321928"
12,0.016454265,"((x2 - x0) * sin(x0 ^ 1.5384285)) / 0.4194112"
13,0.011544841,"(x2 * x0) - ((0.005194147 / cos(cosh(x4))) * x5)"
14,0.008216526,"(x2 * x0) - sinh((0.004461695 / cos(cosh(x4))) * x5)"
15,0.0061120647,"sinh(x2 * x0) - sinh((0.004461695 / cos(cosh(x4))) * x5)"
16,0.0052915937,"sinh(x2 * x0) - sinh((0.003994351 / cos(x4 * x5)) * x5)"
17,0.004356494,"sinh(x2 * x0) - sinh(sin(0.005194147 / cos(x4 * x5)) * x5)"
18,0.004295089,"sinh(x2 * x0) - sinh(sin(sinh(0.004461695 / cos(x4 * x5))) * x5)"
20,0.003544546,"((x2 * erf(erf(x0))) ^ 1.3729877) - sinh(x5 * sin(0.005194147 / cos(x4 * x5)))"
21,0.0033540148,"((x2 * sin(x0 ^ 0.7609862)) ^ 1.8388513) - sinh(sin(0.005194147 / cos(x4 * x5)) * x5)"
22,0.003304268,"((x2 * sin(x0 ^ 0.7609862)) ^ 1.8388513) - sinh(sin(sinh(0.004461695 / cos(x4 * x5))) * x5)"
23,0.0024604893,"sinh(x2 * x0) - sinh((erf(x5) ^ x1) * ((0.010551355 / cos((x4 - 0.005194147) * x5)) * x3))"
24,0.0024380446,"sinh(x2 * x0) - sinh((erf(x5) ^ x1) * ((0.010551355 / sinh(cos((x4 - 0.005194147) * x5))) * x3))"
25,0.0023827539,"sinh(x2 * x0) - (sinh((erf(x5) ^ x1) * ((0.010828639 / cos((x4 - 0.005194147) * x5)) * x3)) * 0.87507164)"
26,0.0016322953,"((x2 * erf(erf(x0))) ^ 1.3729877) - sinh((erf(x5) ^ x1) * ((0.010551355 / cos((x4 - 0.005194147) * x5)) * x3))"
27,0.0014332244,"((x2 * sin(x0 ^ 0.7609862)) ^ 1.8388513) - sinh((erf(x5) ^ x1) * ((0.010551355 / cos((x4 - 0.005194147) * x5)) * x3))"
28,0.0014115863,"((x2 * sin(x0 ^ 0.7609862)) ^ 1.8388513) - sinh((erf(x5) ^ x1) * ((0.010551355 / sinh(cos((x4 - 0.005194147) * x5))) * x3))"
29,0.0013532185,"((x2 * erf(erf(x0))) ^ 1.3729877) - sinh(sinh(((erf(x5) ^ x1) ^ 2.6759686) * (x4 * (0.010828639 / cos((x4 - 0.005194147) * x5)))))"
30,0.0011459598,"((sin(x0 ^ 0.7609862) * x2) ^ 1.8388513) - sinh(sinh(((erf(x5) ^ x1) ^ 2.6759686) * (x4 * (0.010828639 / cos((x4 - 0.005194147) * x5)))))"
31,0.001145912,"((sin(x0 ^ 0.7609862) * x2) ^ 1.8388513) - sinh(sinh(((erf(x5) ^ x1) ^ 2.6759686) * (x4 * (sin(0.010828639) / cos((x4 - 0.005194147) * x5)))))"
32,0.0009809613,"((x2 * erf(erf(x0))) ^ 1.3729877) - (sinh(sinh(((erf(x5) ^ x1) ^ x5) * (x4 * (erf(0.010828639) / cos((x4 - 0.005194147) * x5))))) * 0.5560011)"
