Equações,MSE,RMSE,MAE,R2,Median absolute error,Mean absolute percentage error
0.640352250000000,0.019586902996335476,0.13995321717036546,0.11545528618667267,-0.0023794028297248193,0.09862956818181823,0.2203535558537218
x0*x2,0.003324422876968934,0.05765780846484658,0.05034059573525068,0.8298693254981124,0.05108563611491124,0.07866897380992638
sinh(x0*x2),0.0010037604700866792,0.03168217906152731,0.02129698697437782,0.9486315513597117,0.015574369932429,0.04222899076841806
x0**1.4546539*sinh(x2),0.0007613122609478478,0.027591887593056186,0.016985855553368043,0.9610390815924996,0.01266967305824529,0.0299491183780434
sinh(x0*sinh(x2))*0.47666866,0.0007067636463787328,0.026585026732706754,0.01706095580649944,0.9638306616451097,0.012357524899866634,0.03153213083715458
(x2*sin(x0**0.7528699))**1.8959332,0.000521903671005156,0.022845211117544,0.01469514914055622,0.9732910562647569,0.010835197729723856,0.026916638703556095
(x2*sin(erf(x0**0.81599534)))**1.8749706,0.000476245320851042,0.0218230456364606,0.01437955508063446,0.9756276681206605,0.01088503658840656,0.026490526507910304
sinh((-x0 + x2)*(x0 - 0.07883814)*1.5971165),0.00040164216677975837,0.020041012119645013,0.013607916291198376,0.9794455593432381,0.010830152446068997,0.025820211171352823
x0**1.5126371*(-x0 + x2)/0.4321928,0.0003286009852037708,0.01812735461129866,0.013700711839447394,0.9831835150570032,0.010936210350892761,0.024257989795700236
(-x0 + x2)*sin(x0**1.5384285)/0.4194112,0.00030390381121701485,0.017432837153401475,0.013025203211770883,0.9844474177024116,0.01064861308953513,0.022839811336776723
x0*x2 - 0.005194147*x5/cos(cosh(x4)),0.006399965757208634,0.07999978598226769,0.05490194518339084,0.6724753344088292,0.05133620465131816,0.08517914356210425
x0*x2 - sinh(0.004461695*x5/cos(cosh(x4))),0.005994018730616176,0.07742104836939484,0.0543500041954,0.6932500805834736,0.05099092204245592,0.08436759806175359
sinh(x0*x2) - sinh(0.004461695*x5/cos(cosh(x4))),0.003337253223508584,0.05776896418933426,0.026037194892518427,0.8292127196475133,0.01628905201458397,0.0488911076123011
sinh(x0*x2) - sinh(0.003994351*x5/cos(x4*x5)),0.0031015886717795766,0.0556919084946779,0.025462608875627117,0.8412730894096168,0.016120456058674515,0.04850425346940828
sinh(x0*x2) - sinh(x5*sin(0.005194147/cos(x4*x5))),0.0050442073176538696,0.07102258315250065,0.02724667548336807,0.7418576321246302,0.01633005522195341,0.051149985903762706
sinh(x0*x2) - sinh(x5*sin(sinh(0.004461695/cos(x4*x5)))),0.003753687677611579,0.061267345932491474,0.02614309644700279,0.8079012688530932,0.01610672435832794,0.04951146044249649
