Equações,MSE,RMSE,MAE,R2,Median absolute error,Mean absolute percentage error
0.640352250000000,0.02264502579890164,0.1504826428492723,0.12207006858323077,-0.005147373720081561,0.10550229545454548,0.28027908503508464
x0*x2,0.00292187544637924,0.054054374905082754,0.04773076724740564,0.8703063773322027,0.0471339096007366,0.0759334330376393
sinh(x0*x2),0.0008648652490783957,0.029408591416087846,0.022547923057865647,0.9616111263704068,0.016091802125833832,0.04552893040237817
x0**1.4546539*sinh(x2),0.0004909261596765448,0.022156853559938173,0.016234554880095464,0.9782092038900084,0.013047805739948903,0.027353514571495954
sinh(x0*sinh(x2))*0.47666866,0.000560689396849375,0.023678880819189386,0.01679130987987434,0.9751126150298676,0.013763210114536628,0.031233928987953845
(x2*sin(x0**0.7528699))**1.8959332,0.0003917583252535265,0.01979288572324729,0.014725075702216633,0.9826109780020361,0.01309388069966122,0.027684503015524265
(x2*sin(erf(x0**0.81599534)))**1.8749706,0.000370303631082214,0.01924327495729908,0.01458340980056577,0.9835632899884198,0.01280288925829176,0.027744136136497986
sinh((-x0 + x2)*(x0 - 0.07883814)*1.5971165),0.00033080719159315965,0.01818810577254156,0.01440612993941784,0.985316423006517,0.012555194224786903,0.029905346046653215
x0**1.5126371*(-x0 + x2)/0.4321928,0.0003634926909241939,0.01906548428244596,0.015232286629639337,0.9838656079753011,0.01374453198034764,0.03184090732567128
(-x0 + x2)*sin(x0**1.5384285)/0.4194112,0.0003281313249907934,0.018114395518227855,0.014124618147245948,0.9854351970062324,0.012335819105729562,0.029634414173460306
x0*x2 - 0.005194147*x5/cos(cosh(x4)),0.0058455602314562575,0.0764562635201084,0.05156699175508561,0.7405324433388016,0.04676252178938234,0.08649336790952716
x0*x2 - sinh(0.004461695*x5/cos(cosh(x4))),0.005394714117760833,0.07344871760460378,0.050925053877153806,0.7605442018219755,0.046395988193441096,0.08506077864174034
sinh(x0*x2) - sinh(0.004461695*x5/cos(cosh(x4))),0.0034062354858639537,0.05836296330605527,0.027763708906067816,0.8488070323569972,0.017991865887295955,0.057064015942064145
sinh(x0*x2) - sinh(0.003994351*x5/cos(x4*x5)),0.0011707646169749162,0.03421643781831937,0.025028776399213776,0.9480331358220925,0.017765563039800703,0.049239891120963115
sinh(x0*x2) - sinh(x5*sin(0.005194147/cos(x4*x5))),0.0013945789335862292,0.03734406155717705,0.02618168461005144,0.938098663919052,0.018011334674269852,0.05088722496885582
sinh(x0*x2) - sinh(x5*sin(sinh(0.004461695/cos(x4*x5)))),0.0012507101040581546,0.035365380021401646,0.025473844013595915,0.9444845862599901,0.01793642087670111,0.04987634457531434
(x2*erf(erf(x0)))**1.3729877 - sinh(x5*sin(0.005194147/cos(x4*x5))),0.0009754595151259406,0.03123234725610518,0.020574184463073613,0.9567021659190753,0.014742405995214924,0.03796631055584262
(x2*sin(x0**0.7609862))**1.8388513 - sinh(x5*sin(0.005194147/cos(x4*x5))),0.0008823457429653265,0.029704305125104788,0.018621450773495862,0.9608352176707298,0.013756732226974933,0.033769608941684626
(x2*sin(x0**0.7609862))**1.8388513 - sinh(x5*sin(sinh(0.004461695/cos(x4*x5)))),0.0007404577170246753,0.027211352723168235,0.0178338909779542,0.9671332178542177,0.013667762166047426,0.03263291664527169
sinh(x0*x2) - sinh(erf(x5)**x1*0.010551355*x3/cos(x5*(x4 - 1*0.005194147))),0.0021781655665356545,0.04667082136127084,0.027133419863010606,0.9033175136043776,0.01753910570238204,0.05152361239293357
sinh(x0*x2) - sinh(erf(x5)**x1*0.010551355*x3/sinh(cos(x5*(x4 - 1*0.005194147)))),0.0021466392136208568,0.04633183801254659,0.026864023635356855,0.9047168774698326,0.01753910570238204,0.051127941014240647
sinh(x0*x2) - 0.87507164*sinh(erf(x5)**x1*0.010828639*x3/cos(x5*(x4 - 1*0.005194147))),0.0019172693543211667,0.04378663442560032,0.02650391123242077,0.9148979438873772,0.01753910570238204,0.050640141291654964
(x2*erf(erf(x0)))**1.3729877 - sinh(erf(x5)**x1*0.010551355*x3/cos(x5*(x4 - 1*0.005194147))),0.001794665705300926,0.04236349496088496,0.021761615424252034,0.9203399662067853,0.01441160740195968,0.03929690669845769
(x2*sin(x0**0.7609862))**1.8388513 - sinh(erf(x5)**x1*0.010551355*x3/cos(x5*(x4 - 1*0.005194147))),0.0016835104032265243,0.041030603252042545,0.019641583546929277,0.925273829428993,0.01349103129993301,0.034931027537180255
(x2*sin(x0**0.7609862))**1.8388513 - sinh(erf(x5)**x1*0.010551355*x3/sinh(cos(x5*(x4 - 1*0.005194147)))),0.0016484776049197508,0.04060144831061758,0.019372187319341858,0.9268288342907596,0.01349103129993301,0.03453535615857329
(x2*erf(erf(x0)))**1.3729877 - sinh(sinh((erf(x5)**x1)**2.6759686*x4*0.010828639/cos(x5*(x4 - 1*0.005194147)))),0.001983741923841552,0.04453921781802586,0.02218332062436242,0.9119474182721191,0.01441160740195968,0.039960173550599935
(x2*sin(x0**0.7609862))**1.8388513 - sinh(sinh((erf(x5)**x1)**2.6759686*x4*0.010828639/cos(x5*(x4 - 1*0.005194147)))),0.0018686633853153836,0.043228039341559124,0.020025240486678156,0.9170554226435133,0.01349103129993301,0.0355410115901232
(x2*sin(x0**0.7609862))**1.8388513 - sinh(sinh(x4*(erf(x5)**x1)**2.6759686*sin(0.010828639)/cos(x5*(x4 - 1*0.005194147)))),0.0018685945206761774,0.04322724280677843,0.020025103274624045,0.9170584793462018,0.01349103129993301,0.035540818172659104
(x2*erf(erf(x0)))**1.3729877 - 0.5560011*sinh(sinh((erf(x5)**x1)**x5*x4*0.0122183330821707/cos(x5*(x4 - 1*0.005194147)))),0.001057451925453029,0.03251848590345235,0.019864122838654682,0.9530627593387017,0.01441160740195968,0.03666056684474026
