Complexity,Loss,Equation
1,0.037223708,"0.6395358"
3,0.019977583,"x0 * x2"
4,0.017637208,"sinh(x2 * x0)"
6,0.017474638,"sin((2.6488492 * x0) ^ 1.605856)"
7,0.01670297,"sinh(x0 * sinh(x2)) * 0.4767093"
8,0.016550126,"sinh((1.3762906 * x2) ^ x0) - 1.1790358"
9,0.0067923698,"(x2 * x0) + (0.00013771292 / (x5 - 2.623584))"
10,0.004745274,"sinh(((0.00014104146 / (x5 - 2.623583)) + x2) * x0)"
11,0.0047437837,"sinh(x2 * x0) - (-6.740589e-5 / cos(x5 * -0.59871024))"
12,0.0046552676,"(sinh(x2 * x0) ^ 1.0349175) + (0.00014134843 / (x5 - 2.623583))"
13,0.00391969,"(0.00014066206 / (x5 - 2.623583)) + (sinh(x0 * sinh(x2)) * 0.47458193)"
14,0.0038226175,"((x2 * erf(x0 ^ 0.870923)) ^ 1.6701207) + (0.00014076117 / (x5 - 2.623583))"
15,0.003698875,"((erf(erf(sin(erf(x0)))) * x2) ^ 1.6710914) + (0.00014088063 / (x5 - 2.623583))"
16,0.0030132572,"((0.00013771292 / (x5 - 2.623584)) + (x0 * x2)) + (0.0002829195 / sin(1.2100068 * x5))"
17,0.0018486942,"sinh(((0.0001411158 / (x5 - 2.623583)) + x2) * x0) + (0.00020351444 / sin(x5 * 1.2100027))"
18,0.0015365737,"sinh(x0 * x2) + (sinh(sin(-0.004490849 * exp(x5)) / cos(x4 * x5)) * 2.4173458e-5)"
19,0.0015362366,"sinh(x0 * x2) + (sinh(sin(exp(x5) * -0.004490849) / sin(cos(x4 * x5))) * 2.4173458e-5)"
20,0.0006817249,"((0.00014123062 / (x5 - 2.623583)) + (0.4662098 * sinh(x0 * sinh(x2)))) + (0.00022252745 / sin(x5 * 1.2100027))"
21,0.000638164,"(sinh(sinh(x2) * x0) * 0.4736769) + (cosh(sin(exp(x5) * -0.0044471473) / cos(x5 * x4)) * 2.726892e-5)"
22,0.0005398064,"((0.00014134843 / (x5 - 2.623583)) + ((sin(erf(erf(erf(x0)))) * x2) ^ 1.6808143)) + (0.00022637668 / sin(1.2100027 * x5))"
23,0.0004373967,"((erf(erf(sin(erf(x0)))) * x2) ^ 1.6808146) + (cosh(sin(exp(x5) * -0.0044471473) / cos(x5 * x4)) * 2.726892e-5)"
24,0.0004342909,"(cosh(sin(exp(x5) * -0.0044471473) / cos(x5 * x4)) * 2.726892e-5) + ((sin(erf(erf(erf(sinh(x0))))) * x2) ^ 1.6912657)"
25,0.00041108136,"0.038268097 + (((sin(erf(erf(erf(x0)))) * x2) ^ 1.847716) + (cosh(sin(exp(x5) * -0.0044471473) / cos(x5 * x4)) * 2.726892e-5))"
26,0.00041085508,"0.038268097 + (((sin(erf(erf(erf(x0)))) * x2) ^ 1.847716) + (cosh(sin(exp(x5) * -0.0044471473) / sinh(cos(x5 * x4))) * 2.726892e-5))"
27,0.0003818175,"((erf(x0) * x2) ^ 1.7896656) + ((cosh(sin(-0.0044471473 * exp(x5)) / cos(x4 * x5)) * 2.726892e-5) - ((x0 - erf(x0)) / 0.1802756))"
28,0.00038156222,"((cosh(sin(exp(x5) * -0.0044471473) / cos(x5 * x4)) * 2.726892e-5) - sinh((x0 - erf(x0)) / 0.18110955)) + ((erf(x0) * x2) ^ 1.7896656)"
29,0.00037898184,"0.010327557 + (((x2 * erf(x0)) ^ 1.808312) + ((cosh(sin(-0.0044471473 * exp(x5)) / cos(x4 * x5)) * 2.726892e-5) - ((x0 - erf(x0)) / 0.18882702)))"
30,0.0003752681,"((2.726892e-5 / (erf(x5) / cosh(sin(exp(x5) * -0.0044471473) / cos(x5 * x4)))) - ((x0 - erf(x0)) / 0.1879014)) + ((erf(x0) * x2) ^ 1.7626704)"
