Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Eco Transit,0.34,788.8000000000001,2.0,8.88457746,4.706,3.456,0.0197222222222222,0.01502901,0.762034309859155,0.0408085274627272,227.33980000000005,454.6796000000001,1.7153170742934685
Eco Transit,0.33,765.6,2.0,8.74700485,4.23274272,4.20600971,0.1144444444444444,0.080069,0.6996320388349515,0.0398494911675,228.72430000000003,457.44860000000006,0.5023106174986574
Eco Transit,0.25,580.0,2.0,6.44244186,2.6025814,4.42511628,0.0358333333333333,0.017661,0.4928651162790697,0.0317706546875,240.7075,481.415,0.7989159553536046
Transit,0.3,696.0,2.0,9.25171,2.516389,4.555623,0.1722222222222222,0.112719,0.6544974193548387,0.0369086159318181,233.029,466.0580000000001,0.6725608288592146
Transit,0.35,812.0,2.0,10.96376136,4.40068182,4.69162879,0.0733333333333333,0.056748,0.7738363636363637,0.0417576012556818,225.9805,451.961,0.2641573050031399
Transit,0.36,835.1999999999999,2.0,8.98959701,4.481,4.012,0.0186111111111111,0.015078,0.8101611940298508,0.04269711168,224.64640000000003,449.29280000000006,1.831749017111023
Transit,0.35,812.0,2.0,9.1694466,2.563,3.83641748,0.0286111111111111,0.02215199,0.7742443106796116,0.0417576012556818,225.9805,451.961,0.88504966170903
Transit,0.33,765.6,2.0,10.66663821,4.41570676,4.81240472,3.533333333333333,2.526728,0.7151116981132075,0.0398494911675,228.72430000000003,457.44860000000006,0.9842288164109868
Transit,0.31,719.2,2.0,9.02792727,2.485,4.83492727,0.0152777777777777,0.010386,0.679810909090909,0.0378999345356818,231.5689,463.1378,2.649136774088372
Eco Transit,0.3,696.0,2.0,7.28155039,4.63654264,4.22130233,0.1075,0.07118857,0.6622192558139535,0.0369086159318181,233.029,466.0580000000001,0.4815373320208823
Eco Transit,0.32,742.4,2.0,8.93357143,4.27042857,4.249,0.0174999999999999,0.012145,0.6940000000000001,0.0388800932363636,230.134,460.268,2.201325091507916
Transit,0.35,812.0,2.0,10.71373451,2.59517699,4.62989675,0.0941666666666666,0.074373,0.7898017699115044,0.0417576012556818,225.9805,451.961,0.4385381622943566
Transit,0.33,765.6,2.0,10.9779589,4.42767808,4.81411644,0.0811111111111111,0.057994,0.7149945205479452,0.0398494911675,228.72430000000003,457.44860000000006,0.3128687249111976
Transit,0.33,765.6,2.0,10.16226824,2.41882997,4.38934942,0.9786111111111112,0.705537,0.720957479420948,0.0398494911675,228.72430000000003,457.44860000000006,0.943518920811382
Fast Transit,0.3,696.0,2.0,11.007495,2.576849,4.382957,0.0275,0.017396,0.6325818181818181,0.0369086159318181,233.029,466.0580000000001,1.121672564487134
Fast Transit,0.35,812.0,2.0,11.157,4.382,3.827,0.0041666666666666,0.003439,0.8253600000000001,0.0417576012556818,225.9805,451.961,11.142367332271537
