Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Transit,0.32,742.4,2.0,10.86174609,2.55797043,3.78763826,0.1597222222222222,0.10882799,0.6813578504347827,0.0388800932363636,230.134,460.268,0.6427381114328801
Eco Transit,0.22,510.4,2.0,4.62097612,2.36714627,4.19493433,0.0930555555555555,0.039031,0.4194376119402985,0.02852841455,245.617,491.234,0.2690831761932822
Fast Transit,0.32,742.4,2.0,11.16386957,4.82769565,4.93865217,0.0638888888888888,0.045245,0.7081826086956522,0.0388800932363636,230.134,460.268,0.1406764673143189
Transit,0.31,719.2,2.0,9.004233,2.608798,4.092378,0.0941666666666666,0.062716,0.6660106194690265,0.0378999345356818,231.5689,463.1378,0.3956895443637695
Transit,0.32,742.4,2.0,8.994879,2.59273,4.227681,0.0183333333333333,0.012476,0.6805090909090908,0.0388800932363636,230.134,460.268,2.1163909294937198
Transit,0.36,835.1999999999999,2.0,9.18450538,4.646,4.06410753,0.0258333333333333,0.020459,0.7919612903225807,0.04269711168,224.64640000000003,449.29280000000006,1.086959855320397
Transit,0.31,719.2,2.0,9.20767164,2.47025373,4.67640299,0.0558333333333333,0.03785,0.677910447761194,0.0378999345356818,231.5689,463.1378,0.001319274390537
Fast Transit,0.31,719.2,2.0,11.028,2.631,4.059,0.0036111111111111,0.002308,0.6391384615384617,0.0378999345356818,231.5689,463.1378,15.421115483397672
Eco Transit,0.18,417.6,2.0,4.0485,4.537,3.99594444,0.005,0.001569,0.3138,0.0239970355936363,252.5158,505.0316,14.294477752476968
Transit,0.27,626.4000000000001,2.0,9.14063768,4.71128986,3.53271014,0.0575,0.033016,0.5741913043478261,0.0338637093647727,237.5605,475.121,0.0256757137379675
Transit,0.35,812.0,2.0,9.87875483,4.54805408,4.72665901,2.974166666666666,2.228389,0.7492481927710843,0.0417576012556818,225.9805,451.961,0.981261080872468
Eco Transit,0.23,533.6,2.0,4.28829412,4.5175,3.71758824,0.0566666666666666,0.02482001,0.4380001764705882,0.0296233811902272,243.9553,487.9106,0.1935281730437368
Eco Transit,0.21,487.2,2.0,4.07924908,4.69626007,3.99141758,0.0758333333333333,0.028681,0.378210989010989,0.0274186958038636,247.3039,494.6078,0.0440118613763943
Transit,0.36,835.1999999999999,2.0,9.18692857,2.567,3.88653571,0.0155555555555555,0.012062,0.7754142857142857,0.04269711168,224.64640000000003,449.29280000000006,2.5398036544519984
Eco Transit,0.23,533.6,2.0,6.55685554,4.85129736,4.37082671,0.7902777777777777,0.349874,0.4427228119507909,0.0296233811902272,243.9553,487.9106,0.9153312872913468
Eco Transit,0.24,556.8,2.0,4.46462492,2.42519755,4.23785797,0.4302777777777778,0.19281599,0.4481197959974176,0.0307039948581818,242.3188,484.6376,0.8407601213043492
Eco Transit,0.2,464.0,2.0,5.70525424,2.597,4.63562712,0.0163888888888888,0.005624,0.3431593220338982,0.0262938258181818,249.016,498.032,3.675289085736454
Eco Transit,0.21,487.2,2.0,6.78707874,4.60511024,4.37,0.0352777777777777,0.01354701,0.3840097322834646,0.0274186958038636,247.3039,494.6078,1.0239666025096044
Transit,0.35,812.0,2.0,9.12252815,2.56155764,3.84340214,0.1036111111111111,0.08063199,0.7782175978552279,0.0417576012556818,225.9805,451.961,0.482121162386271
Eco Transit,0.21,487.2,2.0,7.62791566,4.58360407,4.00081097,0.668611111111111,0.270082,0.4039448275862069,0.0274186958038636,247.3039,494.6078,0.8984801067680792
Transit,0.33,765.6,2.0,10.94069458,4.41544828,4.83744335,0.0563888888888888,0.040323,0.7150876847290639,0.0398494911675,228.72430000000003,457.44860000000006,0.0117428969198719
Eco Transit,0.33,765.6,2.0,8.77385542,4.281,4.261,0.0230555555555555,0.016221,0.7035614457831325,0.0398494911675,228.72430000000003,457.44860000000006,1.4566605737932312
Eco Transit,0.29,672.8,2.0,8.99040625,4.47853125,3.83253125,0.0177777777777777,0.010665,0.59990625,0.0359057382911363,234.5143,469.0286,2.3666890099518394
Transit,0.31,719.2,2.0,9.032446,2.609262,4.117971,0.0255555555555555,0.017093,0.6688565217391305,0.0378999345356818,231.5689,463.1378,1.2172780983842408
Transit,0.32,742.4,2.0,9.078,4.234,4.283,0.0116666666666666,0.007973,0.6833999999999999,0.0388800932363636,230.134,460.268,3.8764697399176775
Eco Transit,0.36,835.1999999999999,2.0,8.84327619,4.59726667,4.00539048,0.0583333333333333,0.04643101,0.7959601714285715,0.04269711168,224.64640000000003,449.29280000000006,0.0804182015424604
