Complexity,Loss,Equation
1,0.03722371,"0.63953817"
2,0.037223708,"cos(0.8768659)"
3,0.019977583,"(x0 * x2)"
4,0.017637208,"sinh(x0 * x2)"
6,0.017069988,"((x0 ^ 1.454959) * sinh(x2))"
7,0.016802574,"((sin(x0) ^ 1.4334451) * sinh(x2))"
8,0.016587272,"((x0 ^ 1.4097906) * (cosh(x2) - x0))"
9,0.016456448,"(((x0 ^ 1.5195069) * 2.315966) * (x2 - x0))"
11,0.016372727,"((x0 ^ 1.4101093) * (cosh(x2) - (cos(x5) * x0)))"
12,0.016298294,"(sin(x0 ^ 1.4101093) * (cosh(x2) - (cos(x5) * x0)))"
13,0.016244488,"((x0 ^ 1.4101093) * (sinh(x2) - ((x0 ^ 1.4011614) * cos(x5))))"
14,0.011568587,"(x0 * (x2 - (x5 / (cos(cosh(x4)) * cosh(x4)))))"
15,0.0071684015,"sinh(x0 * (x2 + (0.18798323 / (sinh(x5) - (x5 + x4)))))"
16,0.0068416167,"sinh(x0 * (x2 + (erf(0.18798323) / (sinh(x5) - (x5 + x4)))))"
17,0.00572606,"sinh(x0 * (x2 - ((0.32288656 / (cos(cosh(x4)) * sinh(x4))) * x5)))"
18,0.0049202796,"sinh(x0 * (x2 - ((erf(x5) ^ x1) / (cos(cosh(x4)) * sinh(x4)))))"
19,0.0046123615,"sinh(x0 * (x2 - ((erf(x5) ^ x1) / (cos(x4 * x5) * cosh(x4)))))"
20,0.004470796,"sinh(sin(x0) * (x2 - ((erf(x5) ^ x1) / (cos(x4 * x5) * cosh(x4)))))"
21,0.004354583,"sinh(x0 * (x2 - ((erf(x5) ^ x1) / (cos(x4 * x5) * (cosh(x4) + x2)))))"
22,0.004223529,"sinh(x0 * (x2 - ((erf(x5) ^ x1) / (cos(x4 * x5) * sinh(cosh(x4) * 0.12742817)))))"
23,0.0033991225,"(((sin(x0) ^ 1.5114882) * x2) * (x2 - (log(cosh(x5)) / sinh(cos(x4 * x5) * cosh(x4)))))"
24,0.0031896848,"(((sin(sin(x0)) ^ 1.4980801) * x2) * (x2 - (log(cosh(x5)) / sinh(cos(x4 * x5) * cosh(x4)))))"
26,0.0031387566,"(((sin(sin(x0)) ^ 1.4980801) * x2) * (x2 - (log(cosh(x5) - 0.051226992) / sinh(cos(x4 * x5) * cosh(x4)))))"
27,0.0031360916,"(((sin(sin(x0)) ^ 1.4980801) * x2) * (x2 - (log(cosh(x5) - erf(0.051226992)) / sinh(cos(x4 * x5) * cosh(x4)))))"
28,0.0029337415,"(((sin(sin(x0)) ^ 1.4980801) * x2) * (x2 - (log(cosh(x5)) / sinh(cos(x4 * x5) * ((sinh(x4) - x3) + x5)))))"
29,0.0029312547,"(((sin(sin(x0)) ^ 1.4980801) * x2) * (x2 - (log(cosh(x5)) / (cos(x4 * x5) * (sinh(x4) - (cos(x3) * cosh(x5)))))))"
30,0.002581549,"(((sin(sin(x0)) ^ 1.4980801) * x2) * (x2 - (log(cosh(x5)) / sinh(cos(x4 * x5) * (sinh(x4) - (cos(sinh(x3)) * x5))))))"
