Operational Profile,Engine Load (%),Potencia Maxima (kw),Engines Running,Speed (kn),Draft Bow (m),Draft Stern (m),DURAÇÃO (h),MDO (m³),MDO (m³/h),Consumo Estimado (m³/h),Consumo Estimado (g/kWh),Consumo Estimado,Unnamed: 13
Fast Transit,0.29,672.8,2.0,11.0202987,2.4987013,4.156,0.0213888888888888,0.013215,0.6178441558441559,0.0359057382911363,234.5143,469.0286,1.717044138564992
Transit,0.27,626.4000000000001,2.0,8.985,4.712,3.517,0.0063888888888888,0.003664,0.5734956521739131,0.0338637093647727,237.5605,475.121,8.242278756761117
Transit,0.32,742.4,2.0,9.13244444,2.473,4.681,0.015,0.010401,0.6934,0.0388800932363636,230.134,460.268,2.738111069739798
Eco Transit,0.25,580.0,2.0,5.71363686,4.70156569,4.15698723,0.1522222222222222,0.074173,0.4872678832116789,0.0317706546875,240.7075,481.415,0.5716681988392002
Transit,0.29,672.8,2.0,10.9848,2.489,4.16596923,0.0180555555555555,0.011022,0.6104492307692309,0.0359057382911363,234.5143,469.0286,2.257642740984972
Eco Transit,0.35,812.0,2.0,9.02202439,4.82921951,4.65604878,0.0227777777777777,0.018086,0.794019512195122,0.0417576012556818,225.9805,451.961,1.3088356328476063
Transit,0.26,603.2,2.0,9.16578261,4.601,4.089,0.0127777777777777,0.007207,0.5640260869565217,0.0328237598118181,239.1214,478.2428000000001,3.5544276136836666
Eco Transit,0.27,626.4000000000001,2.0,8.92828205,4.70951282,3.52089744,0.26,0.149308,0.5742615384615384,0.0338637093647727,237.5605,475.121,0.7731956133310155
Transit,0.36,835.1999999999999,2.0,9.07140608,2.56675414,3.84577348,0.1005555555555555,0.078644,0.7820950276243094,0.04269711168,224.64640000000003,449.29280000000006,0.457083672244545
Eco Transit,0.35,812.0,2.0,8.86306306,4.824,4.64645946,0.0308333333333333,0.024511,0.7949513513513514,0.0417576012556818,225.9805,451.961,0.7036269942344993
Transit,0.34,788.8000000000001,2.0,10.4201138,4.39050242,4.4284201,0.2294444444444444,0.166794,0.726947215496368,0.0408085274627272,227.33980000000005,454.6796000000001,0.7553357587039864
Transit,0.35,812.0,2.0,9.06858824,4.534,4.66094118,0.0047222222222222,0.003662,0.7754823529411764,0.0417576012556818,225.9805,451.961,10.402949550978104
Eco Transit,0.36,835.1999999999999,2.0,8.78965,4.618,4.01335,0.0222222222222222,0.017556,0.79002,0.04269711168,224.64640000000003,449.29280000000006,1.432052385509228
Fast Transit,0.3,696.0,2.0,11.01388889,4.493,3.73,0.015,0.00961599,0.641066,0.0369086159318181,233.029,466.0580000000001,2.8382544004120414
Transit,0.36,835.1999999999999,2.0,9.09330769,4.53448718,4.10648718,0.0325,0.02579801,0.793784923076923,0.04269711168,224.64640000000003,449.29280000000006,0.6550544666042072
Transit,0.33,765.6,2.0,10.9575,4.42401667,4.80201667,0.0166666666666666,0.011897,0.71382,0.0398494911675,228.72430000000003,457.44860000000006,2.3495411589056068
Eco Transit,0.36,835.1999999999999,2.0,8.51484314,2.561,3.849,0.0141666666666666,0.01132901,0.7996948235294118,0.04269711168,224.64640000000003,449.29280000000006,2.768829904819574
Eco Transit,0.32,742.4,2.0,8.83953247,4.23328139,4.26822078,0.0641666666666666,0.043934,0.6846857142857143,0.0388800932363636,230.134,460.268,0.1150340684580588
Transit,0.33,765.6,2.0,9.69544729,2.46374069,4.10175275,1.3122222222222222,0.908546,0.6923720575783234,0.0398494911675,228.72430000000003,457.44860000000006,0.9561392695939446
Transit,0.29,672.8,2.0,10.94226807,2.49331235,4.16279487,0.1191666666666666,0.07309,0.6133426573426574,0.0359057382911363,234.5143,469.0286,0.5087462266912524
Eco Transit,0.23,533.6,2.0,4.17470588,4.584,4.04464706,0.0188888888888888,0.008253,0.4369235294117647,0.0296233811902272,243.9553,487.9106,2.589407632403645
Eco Transit,0.19,440.8,2.0,4.127,4.66342105,4.701,0.0052777777777777,0.001751,0.3317684210526315,0.0251534054593181,250.7533,501.5066000000001,13.365165881963556
Eco Transit,0.32,742.4,2.0,8.954619,2.593499,4.230613,0.0116666666666666,0.007973,0.6833999999999999,0.0388800932363636,230.134,460.268,3.8764697399176775
Eco Transit,0.35,812.0,2.0,8.966,4.534,4.66,0.0030555555555555,0.002364,0.7736727272727273,0.0417576012556818,225.9805,451.961,16.663959922031225
Transit,0.36,835.1999999999999,2.0,9.10146319,4.63846933,4.05585276,0.0905555555555555,0.07123799,0.7866771901840491,0.04269711168,224.64640000000003,449.29280000000006,0.4006412634606899
Eco Transit,0.22,510.4,2.0,4.417833,4.46773,3.511305,0.0183333333333333,0.007232,0.3944727272727272,0.02852841455,245.617,491.234,2.944747587112833
Transit,0.33,765.6,2.0,9.15412903,2.556,4.243,0.0258333333333333,0.018137,0.7020774193548387,0.0398494911675,228.72430000000003,457.44860000000006,1.1971379592821303
Eco Transit,0.29,672.8,2.0,8.95957955,4.663,4.04,0.0244444444444444,0.014945,0.6113863636363637,0.0359057382911363,234.5143,469.0286,1.4025251449405396
Transit,0.31,719.2,2.0,9.026599,2.611025,4.132896,0.1141666666666666,0.076465,0.6697664233576642,0.0378999345356818,231.5689,463.1378,0.504349250824798
Eco Transit,0.24,556.8,2.0,6.66050953,4.55279543,4.68636976,0.8744444444444445,0.40982599,0.468670128335451,0.0307039948581818,242.3188,484.6376,0.925080410692885
Transit,0.34,788.8000000000001,2.0,9.122318,2.601164,4.54771,0.0725,0.054513,0.7519034482758621,0.0408085274627272,227.33980000000005,454.6796000000001,0.2513982451391909
Eco Transit,0.19,440.8,2.0,4.25278314,4.70113936,4.10354113,0.4086111111111111,0.133573,0.3268951733514615,0.0251534054593181,250.7533,501.5066000000001,0.8116879499650514
Transit,0.35,812.0,2.0,9.31178261,2.56655797,3.90287681,0.0383333333333333,0.029365,0.7660434782608696,0.0417576012556818,225.9805,451.961,0.4220194536244446
Eco Transit,0.36,835.1999999999999,2.0,8.83576923,2.559,3.821,0.0072222222222222,0.005706,0.7900615384615385,0.04269711168,224.64640000000003,449.29280000000006,6.482844668769716
Eco Transit,0.24,556.8,2.0,4.92552681,2.53800315,3.98933123,0.3522222222222222,0.158704,0.4505791798107256,0.0307039948581818,242.3188,484.6376,0.8065329490234536
Eco Transit,0.71,1647.1999999999998,1.0,4.02077358,2.445,4.07218868,0.0147222222222222,0.005696,0.3868981132075472,0.0726563226447727,193.82890000000003,387.65780000000007,11.755674621624433
Eco Transit,0.29,672.8,2.0,6.925385,2.502431,4.186176,0.0302777777777777,0.017508,0.578245871559633,0.0359057382911363,234.5143,469.0286,1.0508189565419446
Transit,0.27,626.4000000000001,2.0,9.00786472,4.661,3.919,0.1047222222222222,0.054273,0.5182567639257294,0.0338637093647727,237.5605,475.121,0.3760486915266757
Transit,0.3,696.0,2.0,11.0013,4.444,4.7847625,0.0222222222222222,0.014542,0.6543899999999999,0.0369086159318181,233.029,466.0580000000001,1.5380701369700307
Transit,0.34,788.8000000000001,1.99868334,10.07796445,2.58860698,4.27875839,0.4219444444444444,0.310628,0.7361822251481238,0.0408085274627272,227.33980000000005,454.6796000000001,0.8686257276783571
Eco Transit,0.22,510.4,2.0,4.72506024,2.51957831,3.98642169,0.0461111111111111,0.019707,0.4273807228915662,0.02852841455,245.617,491.234,0.4476284848023547
Eco Transit,0.26,603.2,2.0,6.08718794,4.64795276,3.88849447,0.2763888888888889,0.142414,0.5152667336683417,0.0328237598118181,239.1214,478.2428000000001,0.7695187284128093
Eco Transit,0.27,626.4000000000001,2.0,7.03206164,4.6398676,4.16059927,0.0313888888888888,0.017025,0.5423893805309734,0.0338637093647727,237.5605,475.121,0.9890578187825396
Eco Transit,0.32,742.4,2.0,8.95873333,2.56953333,4.39993333,0.025,0.01719701,0.6878804,0.0388800932363636,230.134,460.268,1.260863559209633
Eco Transit,0.36,835.1999999999999,2.0,8.852,2.561,3.832,0.0055555555555555,0.004375,0.7875000000000001,0.04269711168,224.64640000000003,449.29280000000006,8.75933981257143
Transit,0.33,765.6,2.0,9.40180412,2.48843624,3.75525554,1.4575,1.019337,0.6993735849056604,0.0398494911675,228.72430000000003,457.44860000000006,0.9609064606038042
Transit,0.35,812.0,2.0,10.90839496,4.64818487,4.06255462,0.0661111111111111,0.05243401,0.7931194789915966,0.0417576012556818,225.9805,451.961,0.2036161023030317
Transit,0.32,742.4,2.0,9.024165,2.568141,4.251436,0.1175,0.079418,0.6758978723404255,0.0388800932363636,230.134,460.268,0.5104372656530807
Transit,0.35,812.0,2.0,9.28780822,2.56181918,3.83153425,0.1013888888888888,0.07821701,0.7714554410958905,0.0417576012556818,225.9805,451.961,0.4661314558600257
Eco Transit,0.21,487.2,2.0,4.45119907,4.63133796,3.909625,0.12,0.046528,0.3877333333333334,0.0274186958038636,247.3039,494.6078,0.4107054718908263
Eco Transit,0.28,649.6,2.0,7.22040154,4.70305019,4.12588031,0.0719444444444444,0.041745,0.5802393822393822,0.03489090248,236.02480000000003,472.04960000000005,0.1641896639118455
Eco Transit,0.36,835.1999999999999,2.0,8.862,2.566,3.903,0.0086111111111111,0.006711,0.779341935483871,0.04269711168,224.64640000000003,449.29280000000006,5.362257738042021
Transit,0.31,719.2,2.0,9.16468421,2.476,4.71242105,0.0263888888888888,0.01786701,0.6770656421052631,0.0378999345356818,231.5689,463.1378,1.121224230337467
Fast Transit,0.31,719.2,2.0,11.05071041,2.6326003,4.06096983,0.1841666666666666,0.117995,0.6406968325791856,0.0378999345356818,231.5689,463.1378,0.6788005039562538
Eco Transit,0.23,533.6,2.0,5.7988411,4.6306784,4.25143197,0.2919444444444444,0.128582,0.44043311132255,0.0296233811902272,243.9553,487.9106,0.7696148668536242
Eco Transit,0.25,580.0,2.0,6.22752463,4.85689081,4.81702663,0.4172222222222222,0.206509,0.4949616511318242,0.0317706546875,240.7075,481.415,0.8461536558334019
